カード名,カードID,カードコード,タイプ,レアリティ,コスト,属性,パワー,カウンター,色,ブロックアイコン,特徴,テキスト,トリガー,入手情報
モンキー・D・ルフィ,ST01-001,ST01-001,LEADER,L,-,打,5000,0,赤,1,超新星/麦わらの一味,【起動メイン】【ターン1回】このリーダーか自分のキャラ1枚にレストのドン!!1枚までを付与する。,,麦わらの一味【ST-01】
ウソップ,ST01-002,ST01-002,CHARACTER,C,2,射,2000,1000,赤,1,麦わらの一味,【ドン!!×2】【アタック時】相手は、このバトル中、パワー5000以上のキャラの【ブロッカー】を発動できない。,【トリガー】このカードを登場させる。,麦わらの一味【ST-01】
カルー,ST01-003,ST01-003,CHARACTER,C,1,打,3000,1000,赤,1,動物/アラバスタ王国,-,,麦わらの一味【ST-01】
サンジ,ST01-004,ST01-004,CHARACTER,C,2,打,4000,0,赤,1,麦わらの一味,【ドン!!×2】このキャラは【速攻】を得る。(このカードは登場したターンにアタックできる),,麦わらの一味【ST-01】
ジンベエ,ST01-005,ST01-005,CHARACTER,C,3,打,5000,0,赤,1,魚人族/麦わらの一味,【ドン!!×1】【アタック時】このキャラ以外の自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。,,麦わらの一味【ST-01】
トニートニー・チョッパー,ST01-006,ST01-006,CHARACTER,C,1,打,1000,0,赤,1,動物/麦わらの一味,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,麦わらの一味【ST-01】
ナミ,ST01-007,ST01-007,CHARACTER,C,1,特,1000,1000,赤,1,麦わらの一味,【起動メイン】【ターン1回】自分のリーダーかキャラ1枚にレストのドン!!1枚までを付与する。,,麦わらの一味【ST-01】
ニコ・ロビン,ST01-008,ST01-008,CHARACTER,C,3,知,5000,1000,赤,1,麦わらの一味,-,,麦わらの一味【ST-01】
ネフェルタリ・ビビ,ST01-009,ST01-009,CHARACTER,C,2,斬,4000,1000,赤,1,アラバスタ王国,-,,麦わらの一味【ST-01】
フランキー,ST01-010,ST01-010,CHARACTER,C,4,打,6000,1000,赤,1,麦わらの一味,-,,麦わらの一味【ST-01】
ブルック,ST01-011,ST01-011,CHARACTER,C,2,斬,3000,2000,赤,1,麦わらの一味,【登場時】自分のリーダーかキャラ1枚にレストのドン!!2枚までを付与する。,,麦わらの一味【ST-01】
モンキー・D・ルフィ,ST01-012,ST01-012,CHARACTER,SR,5,打,6000,0,赤,1,超新星/麦わらの一味,【速攻】(このカードは登場したターンにアタックできる)【ドン!!×2】【アタック時】相手は、このバトル中、【ブロッカー】を発動できない。,,麦わらの一味【ST-01】
ロロノア・ゾロ,ST01-013,ST01-013,CHARACTER,SR,3,斬,5000,0,赤,1,超新星/麦わらの一味,【ドン!!×1】このキャラのパワー+1000。,,麦わらの一味【ST-01】
毛皮強化,ST01-014,ST01-014,EVENT,C,1,,-,0,赤,1,動物/麦わらの一味,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+3000。,【トリガー】自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。,麦わらの一味【ST-01】
ゴムゴムのJET銃,ST01-015,ST01-015,EVENT,C,4,,-,0,赤,1,超新星/麦わらの一味,【メイン】相手のパワー6000以下のキャラ1枚までを、KOする。,【トリガー】このカードの【メイン】効果を発動する。,麦わらの一味【ST-01】
悪魔風脚,ST01-016,ST01-016,EVENT,C,1,,-,0,赤,1,麦わらの一味,【メイン】自分の特徴《麦わらの一味》を持つ、リーダーかキャラ1枚までを選ぶ。相手は、このターン中、そのリーダーかキャラがアタックする場合【ブロッカー】を発動できない。,【トリガー】相手のコスト3以下の【ブロッカー】を持つキャラ1枚までを、KOする。,麦わらの一味【ST-01】
サウザンド・サニー号,ST01-017,ST01-017,STAGE,C,2,,-,0,赤,1,麦わらの一味,【起動メイン】このステージをレストにできる：自分の特徴《麦わらの一味》を持つリーダーかキャラ1枚までを、このターン中、パワー+1000。,,麦わらの一味【ST-01】
ユースタス・キッド,ST02-001,ST02-001,LEADER,L,-,特,5000,0,緑,1,超新星/キッド海賊団,【起動メイン】【ターン1回】③(コストエリアのドン!!を指定の数レストにできる)，自分の手札1枚を捨てることができる：このリーダーをアクティブにする。,,最悪の世代【ST-02】
ヴィト,ST02-002,ST02-002,CHARACTER,C,3,射,5000,1000,緑,1,ファイアタンク海賊団,-,,最悪の世代【ST-02】
ウルージ,ST02-003,ST02-003,CHARACTER,C,2,打,3000,1000,緑,1,超新星/破戒僧海賊団,【ドン!!×1】自分のキャラが3枚以上いる場合、このキャラのパワー+2000。,,最悪の世代【ST-02】
カポネ・ベッジ,ST02-004,ST02-004,CHARACTER,C,1,特,1000,0,緑,1,超新星/ファイアタンク海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,最悪の世代【ST-02】
キラー,ST02-005,ST02-005,CHARACTER,C,3,斬,3000,1000,緑,1,超新星/キッド海賊団,【登場時】相手のレストのコスト3以下のキャラ1枚までを、KOする。,【トリガー】このカードを登場させる。,最悪の世代【ST-02】
コビー,ST02-006,ST02-006,CHARACTER,C,4,打,6000,1000,緑,1,海軍,-,,最悪の世代【ST-02】
ジュエリー・ボニー,ST02-007,ST02-007,CHARACTER,C,1,特,1000,1000,緑,1,超新星/ボニー海賊団,【起動メイン】①(コストエリアのドン!!を指定の数レストにできる)，このキャラをレストにできる：自分のデッキの上から5枚を見て、特徴《超新星》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,最悪の世代【ST-02】
スクラッチメン・アプー,ST02-008,ST02-008,CHARACTER,C,2,射,3000,2000,緑,1,超新星/オンエア海賊団,【ドン!!×1】【アタック時】相手のドン!!1枚までを、レストにする。,,最悪の世代【ST-02】
トラファルガー・ロー,ST02-009,ST02-009,CHARACTER,SR,5,斬,6000,1000,緑,1,超新星/ハートの海賊団,【登場時】自分のレストのコスト5以下の特徴《超新星》か《ハートの海賊団》を持つキャラ1枚までを、アクティブにする。,,最悪の世代【ST-02】
バジル・ホーキンス,ST02-010,ST02-010,CHARACTER,C,5,斬,6000,0,緑,1,超新星/ホーキンス海賊団,【ドン!!×1】【ターン1回】【自分のターン中】このキャラが相手のキャラとバトルした場合、このキャラをアクティブにする。,,最悪の世代【ST-02】
ヒート,ST02-011,ST02-011,CHARACTER,C,2,特,4000,1000,緑,1,キッド海賊団,-,,最悪の世代【ST-02】
ベポ,ST02-012,ST02-012,CHARACTER,C,1,打,3000,1000,緑,1,ミンク族/ハートの海賊団,-,,最悪の世代【ST-02】
ユースタス・キッド,ST02-013,ST02-013,CHARACTER,SR,7,特,7000,0,緑,1,超新星/キッド海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ドン!!×1】【自分のターン終了時】このキャラをアクティブにする。,,最悪の世代【ST-02】
X・ドレーク,ST02-014,ST02-014,CHARACTER,C,4,斬,5000,1000,緑,1,海軍/超新星/ドレーク海賊団,【ドン!!×1】【自分のターン中】このキャラがレストの場合、自分の特徴《超新星》か《海軍》を持つリーダーとキャラのパワー+1000。,,最悪の世代【ST-02】
メス,ST02-015,ST02-015,EVENT,C,1,,-,0,緑,1,超新星/ハートの海賊団,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、自分のドン!!1枚までを、アクティブにする。,【トリガー】自分のドン!!2枚までを、アクティブにする。,最悪の世代【ST-02】
反発,ST02-016,ST02-016,EVENT,C,2,,-,0,緑,1,超新星/キッド海賊団,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。その後、自分のドン!!1枚までを、アクティブにする。,,最悪の世代【ST-02】
藁備手刀,ST02-017,ST02-017,EVENT,C,2,,-,0,緑,1,超新星/ホーキンス海賊団,【メイン】相手のキャラ1枚までを、レストにする。,【トリガー】自分の手札のコスト2以下の特徴《超新星》を持つカード1枚までを、登場させる。,最悪の世代【ST-02】
クロコダイル,ST03-001,ST03-001,LEADER,L,-,特,5000,0,青,1,王下七武海/B・W,【起動メイン】【ターン1回】ドン!!-4(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：コスト5以下のキャラ1枚までを、持ち主の手札に戻す。,,王下七武海【ST-03】
エドワード・ウィーブル,ST03-002,ST03-002,CHARACTER,C,3,斬,5000,1000,青,1,王下七武海,-,,王下七武海【ST-03】
クロコダイル,ST03-003,ST03-003,CHARACTER,SR,5,特,6000,0,青,1,王下七武海/B・W,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ドン!!×1】【ブロック時】コスト2以下のキャラ1枚までを、持ち主のデッキの下に置く。,,王下七武海【ST-03】
ゲッコー・モリア,ST03-004,ST03-004,CHARACTER,C,4,特,5000,1000,青,1,王下七武海/スリラーバーク海賊団,【登場時】自分のトラッシュの「ゲッコー・モリア」以外のコスト4以下の特徴《王下七武海》か《スリラーバーク海賊団》を持つキャラカード1枚までを、手札に加える。,,王下七武海【ST-03】
ジュラキュール・ミホーク,ST03-005,ST03-005,CHARACTER,C,4,斬,5000,2000,青,1,王下七武海,【ドン!!×1】【アタック時】カード2枚を引き、自分の手札2枚を捨てる。,,王下七武海【ST-03】
ジンベエ,ST03-006,ST03-006,CHARACTER,C,2,打,4000,1000,青,1,魚人族/王下七武海/タイヨウの海賊団,-,,王下七武海【ST-03】
戦桃丸,ST03-007,ST03-007,CHARACTER,C,3,斬,4000,1000,青,1,海軍,【ドン!!×1】【起動メイン】【ターン1回】②(コストエリアのドン!!を指定の数レストにできる)：自分のデッキからコスト4以下の「パシフィスタ」1枚までを、登場させ、デッキをシャッフルする。,,王下七武海【ST-03】
トラファルガー・ロー,ST03-008,ST03-008,CHARACTER,C,1,斬,1000,0,青,1,王下七武海/ハートの海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,王下七武海【ST-03】
ドンキホーテ・ドフラミンゴ,ST03-009,ST03-009,CHARACTER,SR,7,特,7000,0,青,1,王下七武海/ドンキホーテ海賊団,【登場時】コスト7以下のキャラ1枚までを、持ち主の手札に戻す。,,王下七武海【ST-03】
バーソロミュー・くま,ST03-010,ST03-010,CHARACTER,C,2,打,3000,0,青,1,王下七武海/革命軍,【登場時】自分のデッキの上から3枚を見て、好きな順番に並び変え、デッキの上か下に置く。,【トリガー】このカードを登場させる。,王下七武海【ST-03】
バギー,ST03-011,ST03-011,CHARACTER,C,1,斬,3000,1000,青,1,王下七武海/バギーズデリバリー,-,,王下七武海【ST-03】
パシフィスタ,ST03-012,ST03-012,CHARACTER,C,4,特,6000,1000,青,1,生物兵器/海軍,-,,王下七武海【ST-03】
ボア・ハンコック,ST03-013,ST03-013,CHARACTER,C,3,特,1000,1000,青,1,王下七武海/九蛇海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【トリガー】このカードを登場させる。,王下七武海【ST-03】
マーシャル・D・ティーチ,ST03-014,ST03-014,CHARACTER,C,4,特,4000,1000,青,1,王下七武海/黒ひげ海賊団,【登場時】コスト3以下のキャラ1枚までを、持ち主の手札に戻す。,,王下七武海【ST-03】
砂嵐,ST03-015,ST03-015,EVENT,C,4,,-,0,青,1,王下七武海/B・W,【メイン】コスト7以下のキャラ1枚までを、持ち主の手札に戻す。,【トリガー】このカードの【メイン】効果を発動する。,王下七武海【ST-03】
つっぱり圧力砲,ST03-016,ST03-016,EVENT,C,2,,-,0,青,1,王下七武海/革命軍,【カウンター】コスト3以下のキャラ1枚までを、持ち主の手札に戻す。,【トリガー】このカードの【カウンター】効果を発動する。,王下七武海【ST-03】
メロメロ甘風,ST03-017,ST03-017,EVENT,C,2,,-,0,青,1,王下七武海/九蛇海賊団,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。その後、自分の手札が3枚以下の場合、カード1枚を引く。,,王下七武海【ST-03】
