カード名,カードID,カードコード,タイプ,レアリティ,コスト,属性,パワー,カウンター,色,ブロックアイコン,特徴,テキスト,トリガー,入手情報
ナミ,OP01-016_p3,OP01-016,CHARACTER,R,1,特,2000,1000,赤,1,麦わらの一味,【登場時】自分のデッキの上から5枚を見て、「ナミ」以外の特徴《麦わらの一味》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,“三船長”集結【ST-10】
ロロノア・ゾロ,OP01-025_p2,OP01-025,CHARACTER,SR,3,斬,5000,0,赤,1,超新星/麦わらの一味,【速攻】(このカードは登場したターンにアタックできる),,“三船長”集結【ST-10】
ウソップ,OP02-028_p2,OP02-028,CHARACTER,C,3,射,5000,1000,緑,1,FILM/麦わらの一味,-,,Side ウタ【ST-11】
ジンベエ,OP02-033_p2,OP02-033,CHARACTER,C,2,打,4000,1000,緑,1,FILM/魚人族/麦わらの一味,-,,Side ウタ【ST-11】
トニートニー・チョッパー,OP02-034_p2,OP02-034,CHARACTER,UC,2,知,2000,2000,緑,1,FILM/動物/麦わらの一味,【ドン!!×1】【アタック時】相手のコスト2以下のキャラ1枚までを、レストにする。,,Side ウタ【ST-11】
トラファルガー・ロー,OP02-035_p3,OP02-035,CHARACTER,C,2,斬,3000,1000,緑,1,FILM/超新星/ハートの海賊団,【起動メイン】➀(コストエリアのドン!!を指定の数レストにできる)，このキャラを持ち主の手札に戻すことができる：自分の手札からコスト3のキャラ1枚までを、登場させる。,,Side ウタ【ST-11】
ニコ・ロビン,OP02-037_p2,OP02-037,CHARACTER,UC,3,打,4000,1000,緑,1,FILM/麦わらの一味,【登場時】自分の手札からコスト2以下の特徴《FILM》か《麦わらの一味》を持つキャラカード1枚までを、登場させる。,,Side ウタ【ST-11】
フランキー,OP02-039_p2,OP02-039,CHARACTER,C,5,特,7000,1000,緑,1,FILM/麦わらの一味,-,,Side ウタ【ST-11】
ブルック,OP02-040_p2,OP02-040,CHARACTER,R,4,斬,5000,1000,緑,1,FILM/麦わらの一味,【登場時】自分の手札からコスト3以下の特徴《FILM》か《麦わらの一味》を持つキャラカード1枚までを、登場させる。,,Side ウタ【ST-11】
モンキー・Ｄ・ルフィ,OP02-041_p3,OP02-041,CHARACTER,R,7,打,7000,0,緑,1,FILM/超新星/麦わらの一味,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】自分の手札からコスト4以下の特徴《FILM》か《麦わらの一味》を持つキャラカード1枚までを、登場させる。,,Side ウタ【ST-11】
ロロノア・ゾロ,OP02-043_p2,OP02-043,CHARACTER,C,4,斬,6000,1000,緑,1,FILM/超新星/麦わらの一味,-,,Side ウタ【ST-11】
三刀流　鬼斬り,OP02-045_p2,OP02-045,EVENT,C,3,,-,0,緑,1,FILM/超新星/麦わらの一味,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+6000。その後、自分の手札からコスト3以下の元々の効果のないキャラカード1枚までを、登場させる。,【トリガー】相手のリーダーかコスト5以下のキャラ1枚までを、レストにする。,Side ウタ【ST-11】
サボ,ST13-001_p1,ST13-001,LEADER,L,-,特,5000,0,赤/黄,2,ドレスローザ/革命軍,【ドン!!×1】【起動メイン】【ターン1回】自分のコスト3以上でパワー7000以上のキャラ1枚を自分のライフの上に表向きで加えることができる：自分のキャラ1枚までは、次の自分のターン開始時まで、パワー+2000。,,3兄弟の絆【ST-13】
ポートガス・D・エース,ST13-002_p1,ST13-002,LEADER,L,-,特,5000,0,青/黄,2,白ひげ海賊団,【ドン!!×2】【起動メイン】【ターン1回】自分のデッキの上から5枚を見て、コスト5のキャラカード1枚までを、ライフの上に表向きで加える。その後、残りを好きな順番でデッキの下に置く。【自分のターン終了時】自分のライフの表向きのカードすべてをトラッシュに置く。,,3兄弟の絆【ST-13】
