カード名,カードID,カードコード,タイプ,レアリティ,コスト,属性,パワー,カウンター,色,ブロックアイコン,特徴,テキスト,トリガー,入手情報,画像URL
ドン!!カード（通常）,DON-don-normal,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,その他,https://tierone-media-op.com/wp-content/uploads/don-normal.webp
ドン!!カード（フォイル加工）,DON-don-foil,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,その他,https://tierone-media-op.com/wp-content/uploads/don-foil.webp
ドン!!カード OP01,DON-op01-doncard,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,ブースターパック【OP-01】,https://tierone-media-op.com/wp-content/uploads/op01-doncard.webp
ドン!!カード OP02,DON-op02-doncard,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,ブースターパック【OP-02】,https://tierone-media-op.com/wp-content/uploads/op02-doncard.webp
ドン!!カード OP03,DON-op03-doncard,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,ブースターパック【OP-03】,https://tierone-media-op.com/wp-content/uploads/op03-doncard.webp
ドン!!カード OP04,DON-op04-doncard,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,ブースターパック【OP-04】,https://tierone-media-op.com/wp-content/uploads/op04-doncard.webp
ドン!!カード OP05,DON-op05-doncard,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,ブースターパック【OP-05】,https://tierone-media-op.com/wp-content/uploads/op05-doncard.webp
ドン!!カード OP06,DON-op06-doncard,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,ブースターパック【OP-06】,https://tierone-media-op.com/wp-content/uploads/op06-doncard.webp
ドン!!カード OP07,DON-op07-doncard,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,ブースターパック【OP-07】,https://tierone-media-op.com/wp-content/uploads/op07-doncard.webp
ドン!!カード OP08,DON-op08-doncard,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,ブースターパック【OP-08】,https://tierone-media-op.com/wp-content/uploads/op08-doncard.webp
ドン!!カード OP09,DON-op09-doncard,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,ブースターパック【OP-09】,https://tierone-media-op.com/wp-content/uploads/op09-doncard.webp
ドン!!カード OP10,DON-op10-doncard-1,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,ブースターパック【OP-10】,https://tierone-media-op.com/wp-content/uploads/op10-doncard-1.webp
ドン!!カード OP11,DON-op11-doncard,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,ブースターパック【OP-11】,https://tierone-media-op.com/wp-content/uploads/op11-doncard.webp
